/* DADOS USADOS */

--OBVIAMENTE, RESPEITANDO AS LEIS DE PROTEÇÃO DE DADOS, TODOS ESSES DADOS SÃO FALSOS--

Nome,Sobrenome,Nascimento,CPF,Email,Setor,Salário,Filial
Sergio,Marques,36058,75350759869,sergiomarques@gmail.com,Marketing,5750,São Paulo
Helder,Santos,21112,98785271043,heldersantos@live.com,Compras,5000,Rio De Janeiro
Italo,Freitas,37196,87473215335,italofreitas@hotmail.com,Comercial,3000,Rondônia
João,Martins,33924,12345678921,karinaalberti@outlook.com,Marketing,30000,Alagoas
Glayson,Dias,20588,59284889952,glaysondias@outlook.com,Marketing,4750,Rondônia
Jefferson,Portnoi,21554,59441083150,jeffersonportnoi@globo.com,Comercial,11250,Amazonas
Lourival,Carneiro,25395,73121169441,lourivalcarneiro@gmail.com,Administrativo,16750,Minas Gerais
Fernando,Santos,18662,10238376841,fernandosantos@gmail.com,Compras,2500,Minas Gerais
Iran,Nogueira,20444,57913796329,irannogueira@gmail.com,Comercial,18250,Bahia
Fagner,Hausmann,33128,71719352055,fagnerhausmann@terra.com,Administrativo,4500,Rio Grande Do Sul
José,Sousa,25196,45724962709,josésousa@uol.com,Finaneiro,24250,Rio Grande Do Sul
Graziela,Salles,29430,43982778516,grazielasalles@gmail.com,Marketing,8000,Pará
Beatriz,Abreu,23090,16681076052,beatrizabreu@gmail.com,Administrativo,21750,Amapá
Marcos,Passos,30263,94282057954,marcospassos@live.com,Gestão,25000,Rondônia
Gabriele,Aguiar,34892,43799911329,gabrieleaguiar@terra.com,Gestão,7250,Amazonas
Vanessa,Fontes,36321,38695705451,vanessafontes@hotmail.com,Administrativo,18000,Rio De Janeiro
Lucas,Ferreira,22460,89224880035,lucasferreira@uol.com,Compras,4000,Bahia
Leticia,Naves,32295,84054319372,leticianaves@gmail.com,Compras,24500,Rio De Janeiro
Raíssa,Ferreira,36117,60299459440,raíssaferreira@terra.com,Marketing,6500,Rondônia
Ana,Joanucci,35155,67621928659,anajoanucci@globo.com,Marketing,27500,Bahia
Daniel,Grigorio,20702,41740936485,danielgrigorio@globo.com,Finaneiro,6250,Roraima
Felipe,Coutinho,26559,89367008880,felipecoutinho@gmail.com,Finaneiro,6500,Bahia
Fabricio,Tamayo,35245,95672170218,fabriciotamayo@gmail.com,Administrativo,27000,Pernambuco
Amanda,Sousa,21181,13583292238,amandasousa@hotmail.com,Finaneiro,4750,São Paulo
Vitória,Nascimento,21953,70667365994,vitórianascimento@live.com,Administrativo,4500,Amapá
Cesar,Pedrosa,27357,82983846252,cesarpedrosa@terra.com,Comercial,3250,Rio Grande Do Sul
Daniel,Bernardo,29414,35563012693,danielbernardo@gmail.com,Comercial,4500,Bahia
Luis,Alves,37318,17731207219,luisalves@uol.com,Gestão,22750,Minas Gerais
Elizabeth,Coelho,36935,69490861300,elizabethcoelho@gmail.com,Comercial,5500,Sergipe
Maria,Almeida,30589,64636675183,mariaalmeida@uol.com,Comercial,5250,Amapá
Tatiane,Hernandez,22248,31116728765,tatianehernandez@hotmail.com,Marketing,6500,Bahia
Tainara,Rodrigues,25589,55951610419,tainararodrigues@hotmail.com,Finaneiro,8250,Minas Gerais
Izaias,Viana,32724,56106674649,izaiasviana@globo.com,Produção,9500,Rio De Janeiro
Michael,Rebello,36612,16210070334,michaelrebello@terra.com,Marketing,11750,São Paulo
Wenilson,Gonçalves,29910,73086150908,wenilsongonçalves@live.com,Gestão,20750,Bahia
Deyse,Viana,31071,48886277566,deyseviana@live.com,Comercial,4750,São Paulo
José,Soares,25917,85490338628,josésoares@uol.com,Comercial,4250,Amazonas
Luiz,Silva,21042,36381273892,luizsilva@outlook.com,Finaneiro,8500,Bahia
Danielle,Pereira,36374,53457736410,daniellepereira@outlook.com,Finaneiro,3000,Rio De Janeiro
Alvaro,Santos,34347,63908647478,alvarosantos@terra.com,Marketing,4500,Espírito Santo
Kelly,Maciel,31223,65947937688,kellymaciel@hotmail.com,Marketing,5000,Rio De Janeiro
Eliane,Furtado,18378,70083538168,elianefurtado@terra.com,Marketing,6250,Rio De Janeiro
Kely,Araujo,24356,82543239418,kelyaraujo@terra.com,Administrativo,4000,Santa Catarina
Nathalia,Silva,34215,54051224931,nathaliasilva@outlook.com,Administrativo,6250,Piauí
Victor,Medeiros,36270,61092682408,victormedeiros@terra.com,Marketing,6000,São Paulo
Patricia,Fernandes,25250,68175503431,patriciafernandes@gmail.com,Gestão,27500,Sergipe
Kelen,Dias,21119,23579878741,kelendias@gmail.com,Comercial,8750,São Paulo
Leonardo,Filho,23360,18175600123,leonardofilho@uol.com,Finaneiro,5500,Amazonas
Daniele,Lourenço,29654,79486633196,danielelourenço@hotmail.com,Finaneiro,3000,Rondônia
Kamyla,Dias,28536,14853973689,kamyladias@globo.com,Comercial,5500,Rio Grande Do Sul
Julia,Rodrigues,35300,16218810936,juliarodrigues@terra.com,Marketing,6000,Amazonas
Ana,Monteiro,28041,93658135889,anamonteiro@gmail.com,Marketing,6500,Alagoas
Maria,Domingos,27283,92956445713,mariadomingos@globo.com,Gestão,3500,São Paulo
Edson,Pereira,27750,26272106713,edsonpereira@terra.com,Compras,18000,Maranhão
Carlos,Medina,34820,49447054697,carlosmedina@hotmail.com,Administrativo,10250,Amazonas
Emerson,Lucio,30623,90301042698,emersonlucio@uol.com,Produção,5500,Bahia
Maria,Montero,30186,63855105112,mariamontero@hotmail.com,Comercial,16250,Rio De Janeiro
